2025-03-23 23:33:31,283 [INFO] {'target': 0.9743367935409458, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783611'}
2025-03-23 23:33:31,669 [INFO] {'target': 0.9716750539180445, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783611'}
2025-03-23 23:33:31,999 [INFO] {'target': 0.974477289113194, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783611'}
2025-03-23 23:33:32,291 [INFO] {'target': 0.9784276820616765, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783612'}
2025-03-23 23:33:32,681 [INFO] {'target': 0.9747584018462426, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783612'}
2025-03-23 23:33:33,314 [INFO] {'target': 0.9640513552068474, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783613'}
2025-03-23 23:33:34,036 [INFO] {'target': 0.9666714347017594, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783614'}
2025-03-23 23:33:34,793 [INFO] {'target': 0.9706980752657283, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783614'}
2025-03-23 23:33:35,592 [INFO] {'target': 0.9677788915938709, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783615'}
2025-03-23 23:33:36,232 [INFO] {'target': 0.9640513552068474, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783616'}
2025-03-23 23:33:36,880 [INFO] {'target': 0.9666714347017594, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783616'}
2025-03-23 23:33:37,783 [INFO] {'target': 0.9711165397327202, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783617'}
2025-03-23 23:33:38,428 [INFO] {'target': 0.9680561524136944, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783618'}
2025-03-23 23:33:39,170 [INFO] {'target': 0.9644641073212502, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783619'}
2025-03-23 23:33:39,897 [INFO] {'target': 0.96694806123909, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783619'}
2025-03-23 23:33:40,511 [INFO] {'target': 0.9713957165444875, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783620'}
2025-03-23 23:33:41,220 [INFO] {'target': 0.9676403207331042, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783621'}
2025-03-23 23:33:41,993 [INFO] {'target': 0.9641888999857327, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783621'}
2025-03-23 23:33:42,727 [INFO] {'target': 0.9665331807780321, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783622'}
2025-03-23 23:33:43,333 [INFO] {'target': 0.9709770114942529, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783623'}
2025-03-23 23:33:44,012 [INFO] {'target': 0.9680561524136944, 'params': {'gamma': 0.01, 'nu': 0.25, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783624'}
2025-03-23 23:33:45,313 [INFO] {'target': 0.951295045045045, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783625'}
2025-03-23 23:33:46,588 [INFO] {'target': 0.9535769719204177, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783626'}
