2025-03-17 00:46:14,200 [INFO] {'target': 0.9658425039302558, 'params': {'gamma': 0.5, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:46:1742183174'}
2025-03-17 00:46:15,487 [INFO] {'target': 0.962129840546697, 'params': {'gamma': 0.5, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:46:1742183175'}
2025-03-17 00:46:17,125 [INFO] {'target': 0.9516969440923814, 'params': {'gamma': 1, 'nu': 0.3, 'tol': 0.01}, 'datetime': '2025-03-17 00:46:1742183177'}
2025-03-17 00:46:18,944 [INFO] {'target': 0.9543849738737467, 'params': {'gamma': 1, 'nu': 0.3, 'tol': 0.01}, 'datetime': '2025-03-17 00:46:1742183178'}
2025-03-17 00:46:20,482 [INFO] {'target': 0.9546546122333663, 'params': {'gamma': 1, 'nu': 0.3, 'tol': 0.01}, 'datetime': '2025-03-17 00:46:1742183180'}
2025-03-17 00:46:22,076 [INFO] {'target': 0.9541154877876606, 'params': {'gamma': 1, 'nu': 0.3, 'tol': 0.01}, 'datetime': '2025-03-17 00:46:1742183182'}
2025-03-17 00:46:22,512 [INFO] {'target': 0.9665331807780321, 'params': {'gamma': 0.01, 'nu': 0.2, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183182'}
2025-03-17 00:46:22,918 [INFO] {'target': 0.96875, 'params': {'gamma': 0.01, 'nu': 0.2, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183182'}
2025-03-17 00:46:23,361 [INFO] {'target': 0.9734946701238836, 'params': {'gamma': 0.01, 'nu': 0.2, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183183'}
2025-03-17 00:46:23,808 [INFO] {'target': 0.969583931133429, 'params': {'gamma': 0.01, 'nu': 0.2, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183183'}
2025-03-17 00:46:23,977 [INFO] {'target': 0.9750396768143125, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183183'}
2025-03-17 00:46:24,164 [INFO] {'target': 0.9781444492690693, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183184'}
