INFO:root:{'target': np.float64(0.9256530475552579), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9143840148206961), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9175408312309122), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9142630325482932), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.923673305707793), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9201065246338216), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.949828178694158), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9515285045442027), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9534979991720712), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.953234928955718), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8777721774193549), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.8769986151328214), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.8819954418840212), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.877882797731569), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.8854709546205669), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8831135902636917), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8792124195380537), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8906789413118527), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8686868686868687), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.8724949899799599), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.8887471293697372), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.8894279877425945), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.8862595419847328), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.8842345773038842), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.8881805431595053), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.887049535209474), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9280575539568345), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9297917778964229), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9330297347977498), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9302884615384616), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7295650346711494), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7266638760987861), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7275775356244761), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7311012844809434), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7377815554611135), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7245409015025042), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7494064321174185), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7216794845146539), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7176519222819346), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.747470398277718), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7233333333333334), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7315634218289085), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.736373276776246), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.7515151515151515), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.7387234042553191), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.7567567567567568), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.8131147540983606), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8138771683075481), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8080055852920642), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8254873989538755), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7882942262061693), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7864281956864808), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7877749967066263), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7880864522930944), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7851890756302521), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.799358374548857), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7866350960273613), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7876712328767124), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7819037656903766), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7773300402963733), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7671584348941629), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.8032236400268636), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7965898494738244), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.78446805719533), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.7887101028752308), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.8076715289032955), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.8282548476454293), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8557527189467659), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8344962322076472), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.857101906263437), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7832346453036109), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7723837874971377), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.7756697711854662), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.772737686139748), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.8073240785064624), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7962700661000944), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7725606962895099), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7902999062792877), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7658076966738563), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7751350109157762), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7868890703371049), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.786430403357426), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7882682869829399), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.7797942434400648), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.787532103665655), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.7760266881398826), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.8191863995142684), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8222818137493906), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.80984393757503), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.8512302839116719), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6628518403959172), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.6491972129657679), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.6702111024237686), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.6506755730985274), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.6707355242566511), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6733699921445404), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6911788421222383), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.6821582046792933), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.7066776586974444), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.6863090472377902), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.7079616782292699), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.6889567593634464), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.6987283990870558), 'params': {'gamma': 1, 'nu': 0.05}}
