INFO:root:{'target': 0.9433447098976109, 'params': {'gamma': 0.01, 'nu': 0.2}}
INFO:root:{'target': 0.9290131755848346, 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': 0.9290131755848346, 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': 0.9298883057461984, 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': 0.9318948078219824, 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': 0.9110085695451549, 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': 0.9122112211221122, 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': 0.9123316609453394, 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': 0.9148682642658547, 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': 0.9438601283977599, 'params': {'gamma': 0.1, 'nu': 0.01}}
INFO:root:{'target': 0.9442470620388084, 'params': {'gamma': 0.1, 'nu': 0.01}}
INFO:root:{'target': 0.9437312209778749, 'params': {'gamma': 0.1, 'nu': 0.01}}
INFO:root:{'target': 0.9437312209778749, 'params': {'gamma': 0.1, 'nu': 0.01}}
INFO:root:{'target': 0.9403919433859553, 'params': {'gamma': 0.1, 'nu': 0.05}}
INFO:root:{'target': 0.9432159432159433, 'params': {'gamma': 0.1, 'nu': 0.05}}
INFO:root:{'target': 0.9442470620388084, 'params': {'gamma': 0.1, 'nu': 0.05}}
INFO:root:{'target': 0.9464456923709081, 'params': {'gamma': 0.1, 'nu': 0.05}}
INFO:root:{'target': 0.9448926569123479, 'params': {'gamma': 0.1, 'nu': 0.1}}
INFO:root:{'target': 0.9428298540046391, 'params': {'gamma': 0.1, 'nu': 0.1}}
INFO:root:{'target': 0.94141689373297, 'params': {'gamma': 0.1, 'nu': 0.1}}
INFO:root:{'target': 0.9473539895804771, 'params': {'gamma': 0.1, 'nu': 0.1}}
INFO:root:{'target': 0.9386036403151318, 'params': {'gamma': 0.1, 'nu': 0.2}}
INFO:root:{'target': 0.9379666078457989, 'params': {'gamma': 0.1, 'nu': 0.2}}
INFO:root:{'target': 0.9380939451534075, 'params': {'gamma': 0.1, 'nu': 0.2}}
INFO:root:{'target': 0.9403919433859553, 'params': {'gamma': 0.1, 'nu': 0.2}}
INFO:root:{'target': 0.9293880295897781, 'params': {'gamma': 0.1, 'nu': 0.3}}
INFO:root:{'target': 0.9297631862217438, 'params': {'gamma': 0.1, 'nu': 0.3}}
INFO:root:{'target': 0.9303891207755487, 'params': {'gamma': 0.1, 'nu': 0.3}}
INFO:root:{'target': 0.9318948078219824, 'params': {'gamma': 0.1, 'nu': 0.3}}
INFO:root:{'target': 0.912090813093981, 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': 0.9114892494393879, 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': 0.9113690319176998, 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': 0.9129343374289867, 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': 0.9204742240575463, 'params': {'gamma': 0.5, 'nu': 0.01}}
INFO:root:{'target': 0.9230563718942025, 'params': {'gamma': 0.5, 'nu': 0.01}}
INFO:root:{'target': 0.9209649473543916, 'params': {'gamma': 0.5, 'nu': 0.01}}
INFO:root:{'target': 0.9210877099440149, 'params': {'gamma': 0.5, 'nu': 0.01}}
INFO:root:{'target': 0.9260251943178772, 'params': {'gamma': 0.5, 'nu': 0.05}}
INFO:root:{'target': 0.9230563718942025, 'params': {'gamma': 0.5, 'nu': 0.05}}
INFO:root:{'target': 0.9265218557253956, 'params': {'gamma': 0.5, 'nu': 0.05}}
INFO:root:{'target': 0.9260251943178772, 'params': {'gamma': 0.5, 'nu': 0.05}}
INFO:root:{'target': 0.9218249733191035, 'params': {'gamma': 0.5, 'nu': 0.1}}
INFO:root:{'target': 0.9244147157190635, 'params': {'gamma': 0.5, 'nu': 0.1}}
INFO:root:{'target': 0.9223171382808328, 'params': {'gamma': 0.5, 'nu': 0.1}}
